status_id,status_message,status_author,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
558429457587216_1227035820726573,"I had way, way too much fun putting this together. Here's Alone Together featuring ya boi Paul Ramirez on the solo break",Ben Tweedt,,video,https://www.facebook.com/10204624793533702/videos/10210660887032267,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227035820726573/,1/18/2017 10:51,90,12,3,80,6,2,2,0,0
558429457587216_1227373927359429,"Hi guys, my short jam on Alone together, hope you like it",Antonio Feula,Alone together | GUITAR IMPROVISATION,video,https://www.youtube.com/attribution_link?a=oFXoTgtLgI4&u=%2Fwatch%3Fv%3D-UOkJF9F0Ac%26feature%3Dshare,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227373927359429/,1/18/2017 18:23,4,1,0,4,0,0,0,0,0
558429457587216_1227060100724145,Alone Together #JOTW,Matt Janiszewski,,video,https://www.facebook.com/10102296179499761/videos/10103906189357101,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227060100724145/,1/18/2017 11:32,62,3,0,58,3,1,0,0,0
558429457587216_1227265630703592,,Dave Pollack,,video,https://www.facebook.com/10100642202173828/videos/10101265383094268,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227265630703592/,1/18/2017 15:33,55,4,0,53,2,0,0,0,0
558429457587216_1226510727445749,"""Alone Together"" for JOTW. C&C welcome as always! Thanks for listening!",Jason Andres,,video,https://www.facebook.com/815000235280081/videos/1164952780284823,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226510727445749/,1/17/2017 20:11,17,2,2,17,0,0,0,0,0
558429457587216_1227361534027335,"Después de un día Loco voy sanando con un unas vueltas de sólo. 
Saludos desde #Bolivia! Amor a todos! #AloneTogether",Mauro Mass Rojas,,video,https://www.facebook.com/883757488310021/videos/1385033688182396,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227361534027335/,1/18/2017 17:59,6,0,0,5,1,0,0,0,0
558429457587216_1227286997368122,"🎹 Practicing new arrangement for my favorite tune ""Alone Together"" with Classical twist💃 Thank you #Jotw hope you enjoy 😊 your Wednesday #WindyNYChavetomovefingersfastnottofreeze  C&C absolutely welcome",Mikhael Brovkin,,video,https://www.facebook.com/10204651089730774/videos/10210665991699564,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227286997368122/,1/18/2017 16:08,7,0,1,5,2,0,0,0,0
558429457587216_1227318557364966,"Head in and one chorus of Alone Together, Latin feel. Comments and criticism welcome. I got a little lost in the 2nd A, but aside from that I'm relatively happy with this take :) been a while since I posted but this is one of my faves. Cheers! #jamoftheweek, #jotw, #hotinchile, #thatsoundslikeanoxymoron, #hometocanadatomorrow",Gareth Seys,,video,https://www.facebook.com/10155087015800434/videos/10158159502640434,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227318557364966/,1/18/2017 17:00,3,0,0,3,0,0,0,0,0
558429457587216_1227307787366043,"My take on Alone Together.  C&C very welcome!

#madflute #JOTW #AloneTogether",Hiroaki Honshuku,,video,https://www.facebook.com/10203463034810914/videos/10208181333605435,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227307787366043/,1/18/2017 16:46,34,1,6,32,1,1,0,0,0
558429457587216_1227291710700984,"Alone Together with my brother Islan Santos, so...

C&C Welcome!

#AloneTogether #duo #guitar #flugelhorn #jotw",Luca Alves,Alone Together,video,https://www.facebook.com/698200166925160/videos/1430746697003833,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227291710700984/,1/18/2017 16:17,56,2,4,52,4,0,0,0,0
558429457587216_1226397654123723,Unaccompanied chorus over Alone Together. C&C absolutely welcome. #Jotw #trombone #freebop #ericdolphylives,Max Acree,,video,https://www.facebook.com/10203864384163731/videos/10210365637410999,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226397654123723/,1/17/2017 16:45,48,4,3,43,5,0,0,0,0
558429457587216_1227238627372959,,Christopher Braig,,video,https://www.facebook.com/976295869050692/videos/1556183441061929,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227238627372959/,1/18/2017 14:45,7,1,0,7,0,0,0,0,0
558429457587216_1227210174042471,"Hi! My second Video on jam of the Week! Piano solo version of alone together, C&C Welcome 
Enjoy :)

#jamoftheweek #alonetogether",Adrien Brandeis,,video,https://www.facebook.com/10155913830600422/videos/10158160518200422,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227210174042471/,1/18/2017 14:09,5,0,0,5,0,0,0,0,0
558429457587216_1227125190717636,Alone together ..dm-6...,Jonas Lira,,video,https://www.facebook.com/714877248648382/videos/949874515148653,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227125190717636/,1/18/2017 12:57,5,0,0,5,0,0,0,0,0
558429457587216_1226619454101543,"Here's my trio from our gig tonight at Mort's Martini Bar! #alonetogether C and C welcome! Trying to make changes clear in my lines, think I did it about half the time lol",Nathan Borton,,video,https://www.facebook.com/10202159912358019/videos/10206429521375576,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1226619454101543/,1/17/2017 23:36,21,3,0,21,0,0,0,0,0
558429457587216_1227034740726681,These are a few of my favorite things!,Farnell Newton,,photo,https://www.facebook.com/photo.php?fbid=742700432549675&set=gm.1227034740726681&type=3,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227034740726681/,1/18/2017 10:49,26,0,0,26,0,0,0,0,0
558429457587216_1227024440727711,Thanks for the add!!,Ron Duncan,,status,,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1227024440727711/,1/18/2017 10:34,0,0,0,0,0,0,0,0,0
